NAME,AREA,DISTRCT,LAT,LONG,RIVER,DETAILS_URL,ALTITUDE,ALKALINITY,DEPTH
Loch Lednock Reservoir,1.71,Tay,56.44297,-4.08847,River Earn,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100244,Mid-altitude,Medium alkalinity,Deep
Loch Lochy,17.2,Argyll,56.9661,-4.91618,River Lochy,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100194,Lowland,Medium alkalinity,Deep
Loch Loyal,6.46,North Highland,58.39419,-4.36055,River Borgie,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100029,Lowland,Medium alkalinity,Deep
Loch Lundie,1.34,West Highland,57.48121,-5.6639,Torridon Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100147,Mid-altitude,Medium alkalinity,Deep
Loch Lurgainn,3.22,West Highland,58.02889,-5.20007,Minch Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100091,Lowland,Medium alkalinity,Deep
Loch Lyon,4.92,Tay,56.54077,-4.56797,River Tay,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100239,Mid-altitude,Medium alkalinity,Deep
Loch Meadie (Naver Catchment),2.11,North Highland,58.33218,-4.55995,River Naver,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100037,Lowland,Medium alkalinity,Deep
Loch Meiklie,0.79,North Highland,57.33479,-4.6018,River Ness,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100164,Lowland,Medium alkalinity,Deep
Loch Migdale,1.01,North Highland,57.88822,-4.30224,Dornoch Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100100,Lowland,Medium alkalinity,Deep
Loch Moan,0.52,Solway,55.1388,-4.59368,River Cree,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100319,Mid-altitude,Medium alkalinity,Shallow
Loch Morar,26.83,West Highland,56.95475,-5.68346,River Morar,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100196,Lowland,Medium alkalinity,Deep
Loch Morie,2.36,North Highland,57.74969,-4.46964,River Alness,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100111,Lowland,Medium alkalinity,Deep
Loch na h-Oidhche,1.39,West Highland,57.62857,-5.53577,Torridon Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100128,Mid-altitude,Medium alkalinity,Deep
Loch nam Brac,0.55,West Highland,58.38229,-5.11602,Minch Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100032,Lowland,Medium alkalinity,Deep
Loch nan Eun,1.3,West Highland,57.5853,-7.29201,North Uist Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100125,Lowland,Medium alkalinity,Shallow
